feature,importance
carbon_monoxide_mass_mixing_ratio_roll6_max,0.00078172237
metar_relative_humidity_roll12_max,0.00077970565
sulphate_aerosol_mixing_ratio_roll12_max,0.00077317026
dust_aerosol_09_20_mixing_ratio_roll6_max,0.00076790724
metar_wind_speed_kn_roll24_std,0.0007674415
specific_humidity_cumstd,0.00076614745
hno3_roll12_min,0.0007656161
sulphate_aerosol_mixing_ratio_roll12_min,0.000764344
metar_hour_precipitation_roll12_max,0.0007622439
hydrophilic_organic_matter_aerosol_mixing_ratio_roll12_max,0.00076039805
hno3_roll24_std,0.00075988367
formaldehyde_cumsum,0.00075941783
hydrophilic_organic_matter_aerosol_mixing_ratio_roll12_min,0.0007590999
specific_humidity_roll6_max,0.0007590155
sea_salt_aerosol_05_5_mixing_ratio_roll12_mean,0.00075785734
specific_humidity^2,0.00075771677
nitrogen_monoxide_mass_mixing_ratio_lag1,0.0007548592
hydrophilic_black_carbon_aerosol_mixing_ratio_roll12_max,0.0007532635
total_parking_minutes_roll24_mean,0.00075201044
total_parking_minutes,0.00074849743
dust_aerosol_003_055_mixing_ratio_roll12_mean,0.00074802514
hno3_roll24_min,0.00074693543
dust_aerosol_09_20_mixing_ratio_roll24_std,0.0007402568
dust_aerosol_003_055_mixing_ratio_roll12_max,0.000739662
oh_roll12_min,0.0007286287
dust_aerosol_055_09_mixing_ratio_cumstd,0.0007261584
dust_aerosol_003_055_mixing_ratio_cumsum,0.0007237365
dust_aerosol_055_09_mixing_ratio_roll6_std,0.000723304
metar_wind_speed_kn_roll6_mean,0.000721868
metar_temperature_c_roll24_std,0.0007210352
metar_visibility_mi,0.0007122938
hydrophobic_organic_matter_aerosol_mixing_ratio_roll24_max,0.00071176316
c3h8_roll12_min,0.00070756476
metar_dew_point_c_roll3_mean,0.000705808
metar_temperature_c_diff6,0.00070457446
sea_salt_aerosol_5_20_mixing_ratio_ewm12,0.00070061337
isoprene_roll6_max,0.0006993622
nitrogen_dioxide_mass_mixing_ratio_roll12_min,0.00069337897
nitrogen_monoxide_mass_mixing_ratio,0.00069133274
metar_dew_point_c_roll12_std,0.00069047994
h2o2_roll12_max,0.0006901336
organic_nitrates_cumsum,0.00068082113
organic_nitrates_lag12,0.00067748036
temperature total_parking_minutes,0.00067574496
metar_visibility_mi_roll3_min,0.0006752257
oh_cummean,0.00067489134
nitrogen_dioxide_mass_mixing_ratio_roll24_std,0.0006722846
total_parking_minutes_pct_change1,0.00067151565
sulphate_aerosol_mixing_ratio_roll24_min,0.00066731684
ozone_mass_mixing_ratio_roll6_min,0.0006645448
metar_hour_precipitation_cummin,0.0006624942
ethane_roll12_mean,0.00065766455
total_parking_minutes^2,0.0006536477
total_parking_minutes_diff1,0.00065357436
dust_aerosol_09_20_mixing_ratio_roll24_mean,0.00064509717
total_parking_minutes_roll12_kurt,0.00064242387
sulphur_dioxide_mass_mixing_ratio_pct_change6,0.0006420431
ethane_roll6_min,0.000636588
sea_salt_aerosol_003_05_mixing_ratio_roll6_std,0.0006346935
